studio_id,studio_name,anime_id,img,mal_score,your_score,rank,rating,source,start_season,start_year,title,genres
95,Doga Kobo,52034,https://cdn.myanimelist.net/images/anime/1812/134736.jpg,8.61,8,95,pg_13,manga,spring,2023,"""Oshi no Ko""","Award Winning,Drama,Reincarnation,Seinen,Showbiz"
95,Doga Kobo,55791,https://cdn.myanimelist.net/images/anime/1006/143302.jpg,8.64,8,78,pg_13,manga,summer,2024,"""Oshi no Ko"" 2nd Season","Drama,Reincarnation,Seinen,Showbiz"
56,A-1 Pictures,41457,https://cdn.myanimelist.net/images/anime/1987/117507.jpg,8.31,9,259,r,light_novel,spring,2021,86,"Action,Drama,Mecha,Military,Sci-Fi"
56,A-1 Pictures,48569,https://cdn.myanimelist.net/images/anime/1321/117508.jpg,8.71,10,61,r,light_novel,fall,2021,86 Part 2,"Action,Drama,Mecha,Military,Sci-Fi"
1,Pierrot,269,https://cdn.myanimelist.net/images/anime/3/40451.jpg,7.96,7,709,pg_13,manga,fall,2004,Bleach,"Action,Adventure,Shounen,Supernatural"
1,Pierrot,1686,https://cdn.myanimelist.net/images/anime/1834/134488.jpg,7.43,0,2176,pg_13,manga,fall,2006,Bleach Movie 1: Memories of Nobody,"Action,Adventure,Shounen,Supernatural"
1,Pierrot,2889,https://cdn.myanimelist.net/images/anime/12/7499.jpg,7.42,0,2233,pg_13,manga,fall,2007,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,"Action,Adventure,Shounen,Supernatural"
1,Pierrot,4835,https://cdn.myanimelist.net/images/anime/3/64689.jpg,7.5,0,1903,pg_13,manga,fall,2008,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,"Action,Adventure,Shounen,Supernatural"
1,Pierrot,8247,https://cdn.myanimelist.net/images/anime/1554/134492.jpg,7.62,0,1468,pg_13,manga,fall,2010,Bleach Movie 4: Jigoku-hen,"Action,Adventure,Shounen,Supernatural"
1,Pierrot,41467,https://cdn.myanimelist.net/images/anime/1908/135431.jpg,9.01,10,11,r,manga,fall,2022,Bleach: Sennen Kessen-hen,"Action,Adventure,Shounen,Supernatural"
1,Pierrot,53998,https://cdn.myanimelist.net/images/anime/1164/138058.jpg,8.7,9,62,r,manga,summer,2023,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"Action,Adventure,Shounen,Supernatural"
441,8bit,49596,https://cdn.myanimelist.net/images/anime/1258/126929.jpg,8.23,8,346,pg_13,manga,fall,2022,Blue Lock,"Shounen,Sports,Team Sports"
1835,CloverWorks,47917,https://cdn.myanimelist.net/images/anime/1448/127956.jpg,8.77,9,41,pg_13,4_koma_manga,fall,2022,Bocchi the Rock!,"CGDCT,Comedy,Music"
569,MAPPA,44511,https://cdn.myanimelist.net/images/anime/1806/126216.jpg,8.48,8,151,r,manga,fall,2022,Chainsaw Man,"Action,Fantasy,Gore,Shounen,Urban Fantasy"
14,Sunrise,1575,https://cdn.myanimelist.net/images/anime/1032/135088.webp,8.7,8,63,r,original,fall,2006,Code Geass: Hangyaku no Lelouch,"Action,Award Winning,Drama,Mecha,Military,School,Sci-Fi,Super Power"
803,Trigger,42310,https://cdn.myanimelist.net/images/anime/1818/126435.jpg,8.61,10,96,r+,game,summer,2022,Cyberpunk: Edgerunners,"Action,Gore,Organized Crime,Sci-Fi"
11,Madhouse,1535,https://cdn.myanimelist.net/images/anime/1079/138100.webp,8.62,9,87,r,manga,fall,2006,Death Note,"Psychological,Shounen,Supernatural,Suspense"
